,year,state,metrodiv_title,county_name,CoC_Code,coc_name,pop_type,pop_size
1,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,#N/A
2,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,#N/A
3,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,1738
4,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,1899
5,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,2093
6,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,2321
7,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,1629
8,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,1932
9,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,2138
10,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Chronically Homeless,1757
531,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,#N/A
532,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,#N/A
533,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,919
534,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,774
535,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,716
536,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,720
537,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,557
538,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,580
539,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,684
540,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Veterans,656
1061,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,5823
1062,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,5823
1063,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,5669
1064,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,5895
1065,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,7008
1066,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,6408
1067,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,6775
1068,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,6996
1069,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,6858
1070,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Homeless,6857
1591,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,2056
1592,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,2056
1593,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,1677
1594,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,1757
1595,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,1919
1596,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,1522
1597,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,1981
1598,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,2197
1599,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,2056
1600,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Emergency Shelters,2011
2121,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2122,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2123,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2124,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2125,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2126,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2127,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2128,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2129,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,0
2130,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Safe Haven Shelters,11
2651,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,825
2652,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,825
2653,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,595
2654,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,742
2655,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,720
2656,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,517
2657,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,420
2658,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,425
2659,2017,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,434
2660,2018,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Transitional Housing,474
3181,2009,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2881
3182,2010,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2881
3183,2011,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2298
3184,2012,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2524
3185,2013,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2693
3186,2014,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2093
3187,2015,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2417
3188,2016,California,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,Total Sheltered Homeless,2638
