,year,metrodiv_title,county_name,CoC_Code,coc_name,Pop_Type,Pop_Size
1061,2009,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,5823
1062,2010,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,5823
1063,2011,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,5669
1064,2012,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,5895
1065,2013,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,7008
1066,2014,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,6408
1067,2015,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,6775
1068,2016,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,6996
1069,2017,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,6858
1070,2018,"San Francisco-San Mateo-Redwood City, CA",San Francisco County,CA-501,San Francisco CoC,overall_homeless,6857
1071,2009,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4341
1072,2010,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4341
1073,2011,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4178
1074,2012,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4257
1075,2013,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4264
1076,2014,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4272
1077,2015,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4040
1078,2016,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,4145
1079,2017,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,5629
1080,2018,"Oakland-Berkeley-Livermore, CA",Alameda County,CA-502,"Oakland, Berkeley/Alameda County CoC",overall_homeless,5496
1081,2009,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2759
1082,2010,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2759
1083,2011,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2415
1084,2012,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2386
1085,2013,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2000
1086,2014,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2009
1087,2015,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2031
1088,2016,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,1730
1089,2017,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,1607
1090,2018,"Oakland-Berkeley-Livermore, CA",Contra Costa County,CA-505,Richmond/Contra Costa County CoC,overall_homeless,2234
1091,2009,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,1026
1092,2010,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,1026
1093,2011,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,862
1094,2012,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,725
1095,2013,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,676
1096,2014,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,679
1097,2015,"San Rafael, CA",Marin County,CA-507,Marin County CoC,overall_homeless,1318
